,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
58,59,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 29,999",No Brand,0,Free Shipping,0,95%,85%
59,60,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999",No Brand,0,Pakistan,0,93%,100%
60,61,"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 27,999",No Brand,5,Free Shipping,0,85%,100%
61,62,Infinix Hot 30 || 8GB+8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 36,999",No Brand,4.8,Free Shipping,0,91%,74%
62,63,Samsung Galaxy A54 8GB+256GB,"Rs. 128,999",Samsung,0,Pakistan,0,92%,100%
63,64,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 46,999",No Brand,0,Free Shipping,0,87%,Not enough data
64,65,"Tecno Camon 20 - 8GB/256GB - 64 MP Camera - 5000 mAH- Battery - 6.67""","Rs. 49,999",Tecno,0,Free Shipping,0,94%,100%
65,66,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 46,399",No Brand,0,Free Shipping,0,89%,100%
66,67,Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired,"Rs. 28,999",No Brand,5,Free Shipping,0,94%,92%
67,68,Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 39,999",No Brand,0,Pakistan,0,93%,100%
68,69,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 45,496",No Brand,0,Pakistan,0,95%,100%
69,70,Sparx Neo X || 4GB RAM 64GB ROM || 50MP +2MP Camera || 5000mAh Battery || PTA Approved || 1 Year Brand Warranty,"Rs. 25,999",No Brand,0,Free Shipping,0,92%,96%
70,71,"Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 26,999",No Brand,0,Pakistan,0,76%,100%
71,72,"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 49,999",No Brand,0,Free Shipping,0,95%,85%
72,73,"Infinix Hot 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 37,999",No Brand,0,Free Shipping,0,0%,100%
73,74,"Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 19,999",No Brand,4.9,Free Shipping,0,95%,85%
74,75,Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 50,699",No Brand,5,Free Shipping,0,90%,100%
75,76,Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 15,999",No Brand,5,Free Shipping,0,92%,100%
76,77,"Oppo A57 - 5.2"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 13,999",No Brand,4.3,Pakistan,0,76%,100%
77,78,Itel A60s || 4GB + 128GB || 6.6 inches IPS Display || Battery Li-Po 5000 mAh,"Rs. 22,999",No Brand,4.4,Free Shipping,0,94%,92%
78,79,Itel S23 - 8GB Ram - 256GB Rom - 5000mAh Battery,"Rs. 31,000",No Brand,4.8,Pakistan,0,95%,100%
79,80,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,999",No Brand,4.3,Free Shipping,0,95%,100%
80,81,"Tecno Camon 20 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 48,999",No Brand,5,Free Shipping,0,95%,85%
81,82,Redmi 12 || 8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 42,999",No Brand,3.9,Free Shipping,0,91%,74%
82,83,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 28,999",No Brand,4.2,Free Shipping,0,87%,Not enough data
83,84,"Tecno Camon 20 - 8GB RAM 256GB ROM - 6.67"" AMOLED Display - Finger On Screen - 5000mAh Battery - 33W Fast Charge - 32MP Selfie Camera - 64 MP + 2MP + AI Cam + Quad Flash - PTA Approved","Rs. 47,999",No Brand,4.4,Free Shipping,0,89%,100%
84,85,"Xiaomi Redmi 12 || 8GB + 128GB || 6.79"" IPS Display || 5000 mah Battery","Rs. 42,999",No Brand,4.9,Free Shipping,0,94%,92%
85,86,"Tecno Spark 10 Pro , 8GB RAM 128GB ROM , Back Camera 50 MP , fingersensor , 5000mAh Battery","Rs. 37,999",No Brand,4.7,Free Shipping,0,95%,85%
86,87,Infinix Note 30 8GB Ram 256GB Memory,"Rs. 45,498",No Brand,4.7,Pakistan,0,95%,100%
87,88,"infinix Smart 7 HD , 2GB + 2GB Ram 64GB Rom , 6.6 Inches HD , 5000 mAh- Battery","Rs. 21,399",No Brand,4.8,Free Shipping,0,90%,100%
88,89,Tecno Camon 20 Pro 8GB 256GB | 64-megapixel primary camera | MediaTek G99 processor | 5000mAh battery | 1 Year Brand warranty,"Rs. 61,999",No Brand,4.5,Pakistan,0,100%,100%
89,90,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999",Samsung,4.6,Free Shipping,0,84%,100%
90,91,Redmi 12C 4GB Ram 5000mAh Battery Fingerprint Sensor,"Rs. 27,999",No Brand,4.8,Free Shipping,0,91%,74%
91,92,"Samsung A54 5G - 6.4"" Inch Display - 8GB RAM","Rs. 134,999",No Brand,4.7,Free Shipping,0,85%,100%
92,93,"Redmi 12 - 6.79"" Inch Display - 8GB RAM - 128GB ROM","Rs. 43,950",No Brand,4.5,Free Shipping,0,85%,100%
93,94,"Redmi A2 Plus , 3GB Ram 4GB Rom , 6.5 Inches IPS Display , 5000 mAh - Battery","Rs. 19,999",No Brand,4.9,Free Shipping,0,90%,100%
94,95,"Infinix Smart 7 , Back Camera 13 MP , 4GB RAM 64GB ROM , Fingerprint , 5000 mAh Battery","Rs. 25,999",No Brand,4.3,Free Shipping,0,95%,85%
95,96,itel S23 6.6″ HD+ Display | Up to 16+256GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera,"Rs. 33,499",itel,4.4,Free Shipping,0,88%,100%
96,97,Samsung Galaxy A04e 3GB+32GB,"Rs. 28,699",Samsung,4.8,Pakistan,0,92%,100%
97,98,INFINIX NOTE 30 - 8GB+8GB =16GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 46,799",No Brand,4.3,Pakistan,0,96%,100%
98,99,"Infinix Hot 30 Play RAM 4 GB ROM 64 GB Front Camera 8 MP Back Camera 16 MP + QVGA Battery Type Li-Po 6000 mAh, non-removable","Rs. 29,980",No Brand,4.8,Free Shipping,0,95%,100%
99,100,Infinix Note 30 Pro || 8GB + 8GB Ram 256GB Rom || 5000mAh Battery,"Rs. 62,999",No Brand,5,Free Shipping,0,91%,74%
100,101,"Redmi Note 12s - 6.43"" Inch Display - 8GB RAM - 256GB ROM","Rs. 73,450",No Brand,4.6,Free Shipping,0,85%,100%
101,102,"Infinix Note 30 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , 5000mAh Battery","Rs. 64,999",No Brand,4.4,Free Shipping,0,89%,100%
102,103,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,990",No Brand,4.6,Pakistan,0,95%,100%
103,104,Redmi 12C 4GB RAM + 64GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 26,480",No Brand,4.6,Free Shipping,0,95%,100%
104,105,Tecno Camon 20 || 8GB ROM 256GB ROM || 64MP Triple Camera || 5000mAh Battery (Fast Charging) || PTA Approved || 1Year Brand Warrenty,"Rs. 47,999",No Brand,5,Free Shipping,0,92%,96%
105,106,"Infinix Note 30 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 69,999",No Brand,4.4,Free Shipping,0,87%,Not enough data
106,107,"Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 33,999",Nokia,4.4,Free Shipping,0,91%,100%
107,108,Infinix Note 30 Pro || 8GB RAM 256Gb ROM || 108MP Triple Camera || 5000mAh Battery (Fast Charging 68W ) || PTA Approved || 1 Year Brand Warranty,"Rs. 63,999",No Brand,4.7,Free Shipping,0,92%,96%
108,109,"Tecno Spark Go 2023 , 4GB RAM 64GB ROM , Back Camera 13 MP , Fingersensor , 5000mAh Battery","Rs. 25,999",Tecno,4.5,Free Shipping,0,95%,85%
