,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
144,145,"Nokia C31 - 4GB / 64GB - Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 64GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 24,999",Nokia,5,Free Shipping,0,91%,100%
145,146,Infinix Note 30 - 8GB RAM 256GB ROM - 6.78 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 48,999",No Brand,4.7,Free Shipping,0,91%,100%
146,147,Galaxy A04s 4GB RAM-128GB ROM PTA APPROVED OFFICIAL BRAND WARRANNTY,"Rs. 38,999",Samsung,4.6,Free Shipping,0,84%,100%
147,148,"Samsung Galaxy A13 - 6.6"" Inch display - 4GB RAM","Rs. 43,499",No Brand,4.8,Free Shipping,0,85%,100%
148,149,Infinix Hot 30 8GB Ram 128GB Memory,"Rs. 35,989",No Brand,4.8,Pakistan,0,95%,100%
149,150,"Realme C33 , 4GB RAM 64GB ROM , Fingersensor , BackCamera 50MP , 5000mAh Battery","Rs. 30,999",No Brand,5,Free Shipping,0,95%,85%
150,151,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 30,940",No Brand,4.9,Pakistan,0,95%,100%
151,152,Vivo Y17S || 6GB+6GB Ram 128GB Rom || 5000mAh Battery,"Rs. 44,999",No Brand,4.6,Free Shipping,0,91%,74%
152,153,"Vivo Y36 ROM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 62,480",No Brand,5,Free Shipping,0,95%,100%
153,154,"Samsung Galaxy A54 , 5G , 8GB Ram 256GB Rom , 6.4 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired","Rs. 135,999",No Brand,4.5,Free Shipping,0,90%,100%
154,155,"Samsung A54 , 8GB RAM 256GB RAM , 50MP Main Camera , 5000mAh Fast Charging","Rs. 134,999",No Brand,4.4,Free Shipping,0,95%,85%
155,156,Tecno SPARK 10 PRO 8GB RAM - 128GB ROM 50 MP CAMERA DUAL SIM,"Rs. 39,499",No Brand,4.8,Pakistan,0,89%,100%
156,157,"Xiaomi Poco X5 Pro 5 G RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 115,000",No Brand,5,Free Shipping,0,95%,100%
157,158,Infinix Smart 7 4GB Ram 64GB Rom 5000mAh Battery,"Rs. 25,999",No Brand,5,Free Shipping,0,91%,74%
158,159,Vivo V27e || 8GB Ram 256GB Rom || 4600 mAh Battery,"Rs. 98,999",Vivo,5,Free Shipping,0,91%,74%
159,160,"Xiaomi Poco X5 Pro || 8GB + 256GB || Display 6.7"" AMOLED || Battery Li-Po 5000 mAh ||","Rs. 111,999",No Brand,4.8,Free Shipping,0,94%,92%
