,ID,Name,Review text
42,5,talha J.,Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan
43,5,Kamran A.,Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller
44,5,w***.,Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations
45,6,Asif B.,"phone is damaged from edges, pictures uploaded"
46,6,M F.,Same As Described original product found in reasonable price than Market
47,6,Bilal B.,Seller is fraud. He is sending Redmi 12C instead of Redmi Note 12. DARAZ.PK should take action on this. In last 1 week multiple reviews came from buyers as they have received wrong product. Fortunately i have recorded video while opening my parcel. I have attached video evidence. I hope Daraz.pk will take immediate action and compensate the buyers on priority. I will never order from this store again.
48,6,Mirza M.,Genuine product as shown. Most reasonable price on Daraz even any mobile market.
49,6,Saif U.,#11.11 Good and Pin Packed Mobile Thanks seller and daraz No any Fault
50,6,3***6,#11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.
51,6,M F.,Same As Described original product found in reasonable price than Market
52,6,Zeeshan Y.,"nice phone, camera results awesome 👍,"
53,6,Waqas A.,thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade
54,7,abdul S.,پن پیک فون ہے۔ جو لوگ کہتے ہیں کہ ڈبے میں کچھ چیزیں کم ہیں ۔ تو شائد اس کی وجہ یہ ہے کہ یہ ماڈل چائنہ اسمبل ہے ۔ باقی اللہ بہتر جانتا ہے۔
55,7,Iqbal S.,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."
56,7,3***2,#11.11 To cut the long story short: all is well and of fine quality.... really satisfied with each and every single thing.. #11.11
57,7,Iqbal S.,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."
58,7,Nizam U.,mobile is pta aproved. moible is very good. this mobile was only available on daraz. in market it is not available .the crated goes to daraz. i bought it on 38919 rupess. 8 128 i hope it is a good price
59,7,3***2,#11.11 To cut the long story short: all is well and of fine quality.... really satisfied with each and every single thing.. #11.11
60,7,Khalida B.,The product was same as was expected. Although delivery got very late but wait was worth it. Mobile was pin packed and PTA approved.Thanks a lot
61,7,muhammad B.,i have received my phone in time new and original condition best seller best service thank you daraz for best services!
62,7,imran T.,"origional product. pta approved hai, non activated phone tha. sim dal k active kiya warranty 1 year activate hui ha. at first i was worried by reading some negative comments but origional product rcvd. 5 stars to seller ."
63,8,Muhammad Z.,Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.
64,8,A***.,"Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications"
65,8,aamir B.,"Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍"
66,8,A***.,"Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications"
67,8,3***1,"at least i recieved my phone its awesome phone features also best, camera 💯 , battery life too good, smart and weight less phone 💯 recommended"
68,8,Tabraiz A.,After using for few days i found this phone very recommended under such price
69,8,Bilal A.,الحمدللہ ٹیکنو موبائل فون %ا100 اوریجنل موبائل ہے ۔ وارنٹی بھی 13 مہینے کی ہے ۔ میں سیلر کی سروسز سے مطمئن ہوں ۔
70,8,Fateh K.,#11.11 میں نے ابھی تک اسے کھولا نہیں ہے ۔ ارڈر دیے ہوئے چھ دن ہو چکے تھے کافی لیٹ ایا ہے ۔ لیکن بہرحال اوریجنل پروڈکٹ لگ رہی ہے ۔ شکریہ دراز 🌹
71,8,Salahuddin B.,very good mobile phone 📱 Tecno spark 10 thanks daraz
72,9,faheem,very fast delivery and origional sealed pack mobile I am satisfied
73,9,Khurram J.,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ
74,9,Malik S.,"not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful"
75,9,Malik R.,Allhamdullilah 🥰 Very Good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that
76,9,Khurram J.,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ
77,9,V***.,Very nice mobile with fast delivery by daraz
78,9,0***7,Buhat acha experience hy
79,9,Ghulam H.,"amazing choice of phonenin this price range currently. bcz i used note 20 ultra before this and now using this A14. not big differencebof performance in this price. phone was well packed and new untouched. so don't hesitate to buy samsung A14, 6/128"
80,9,Muhammad J.,Very satisfied with the delivery time and packaging. This was a gift to my mother and she is really happy
81,10,Muhammad K.,"It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services."
82,10,Umar,Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.
83,10,khan K.,Excellent 👌
